"","year","min","median","max","migration","reach"
"V1",1998,60.37184,66.78994,75.49952,"In-river","LGR_BON"
"V2",1999,55.09513,60.56146,67.81562,"In-river","LGR_BON"
"V3",2000,45.97014,51.53298,56.95302,"In-river","LGR_BON"
"V4",2001,43.7155,49.47018,54.72793,"In-river","LGR_BON"
"V5",2002,44.16271,49.89006,55.20432,"In-river","LGR_BON"
"V6",2003,47.0666,52.4993,58.0951,"In-river","LGR_BON"
"V7",2004,34.67634,41.79191,47.2475,"In-river","LGR_BON"
"V8",2005,38.08194,44.66845,49.95364,"In-river","LGR_BON"
"V9",2006,55.78427,61.32741,68.8391,"In-river","LGR_BON"
"V10",2007,53.5506,58.80301,65.62945,"In-river","LGR_BON"
"V11",2008,42.43075,48.35228,53.56334,"In-river","LGR_BON"
"V12",2009,49.84876,54.945,60.996,"In-river","LGR_BON"
"V13",2010,51.38635,56.49402,62.82787,"In-river","LGR_BON"
"V14",2011,36.1927,43.06476,48.42466,"In-river","LGR_BON"
"V15",2012,58.48217,64.5025,72.70395,"In-river","LGR_BON"
"V16",2013,55.62003,61.13469,68.59815,"In-river","LGR_BON"
"V17",2014,43.99277,49.70748,55.00005,"In-river","LGR_BON"
"V18",2015,30.52276,38.43278,44.31705,"In-river","LGR_BON"
"V19",2016,21.45963,30.94585,38.00969,"In-river","LGR_BON"
"V20",2017,34.84826,41.93588,47.35124,"In-river","LGR_BON"
"V21",2018,36.72437,43.52311,48.8737,"In-river","LGR_BON"
"V22",2019,51.49865,56.61594,62.97256,"In-river","LGR_BON"
"V23",2020,NA,NA,NA,"In-river","LGR_BON"
"V24",2021,NA,NA,NA,"In-river","LGR_BON"
"V25",2022,NA,NA,NA,"In-river","LGR_BON"
"V110",1998,100,100,100,"Transported","LGR_BON"
"V26",1999,100,100,100,"Transported","LGR_BON"
"V31",2000,100,100,100,"Transported","LGR_BON"
"V41",2001,100,100,100,"Transported","LGR_BON"
"V51",2002,100,100,100,"Transported","LGR_BON"
"V61",2003,100,100,100,"Transported","LGR_BON"
"V71",2004,100,100,100,"Transported","LGR_BON"
"V81",2005,100,100,100,"Transported","LGR_BON"
"V91",2006,100,100,100,"Transported","LGR_BON"
"V101",2007,100,100,100,"Transported","LGR_BON"
"V111",2008,100,100,100,"Transported","LGR_BON"
"V121",2009,100,100,100,"Transported","LGR_BON"
"V131",2010,100,100,100,"Transported","LGR_BON"
"V141",2011,100,100,100,"Transported","LGR_BON"
"V151",2012,100,100,100,"Transported","LGR_BON"
"V161",2013,100,100,100,"Transported","LGR_BON"
"V171",2014,100,100,100,"Transported","LGR_BON"
"V181",2015,100,100,100,"Transported","LGR_BON"
"V191",2016,100,100,100,"Transported","LGR_BON"
"V201",2017,100,100,100,"Transported","LGR_BON"
"V211",2018,100,100,100,"Transported","LGR_BON"
"V221",2019,100,100,100,"Transported","LGR_BON"
"V231",2020,100,100,100,"Transported","LGR_BON"
"V241",2021,100,100,100,"Transported","LGR_BON"
"V251",2022,100,100,100,"Transported","LGR_BON"
"V112",1998,0.4123034,0.6142184,0.8662303,"In-river","BON_BOA"
